Chemin, Paquet, Classe, TLOC, TASSERT, tcmp
./jfreechart-master/src/test/java/org/jfree/chart/XYStepChartTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/XYStepChartTest, 93, 5, 18.60
./jfreechart-master/src/test/java/org/jfree/chart/swing/CrosshairOverlayTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/swing/CrosshairOverlayTest, 40, 6, 6.67
./jfreechart-master/src/test/java/org/jfree/chart/swing/ChartPanelTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/swing/ChartPanelTest, 216, 23, 9.39
./jfreechart-master/src/test/java/org/jfree/chart/PieChartTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/PieChartTest, 38, 2, 19.00
./jfreechart-master/src/test/java/org/jfree/chart/labels/StandardCategorySeriesLabelGeneratorTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/labels/StandardCategorySeriesLabelGeneratorTest, 65, 12, 5.42
./jfreechart-master/src/test/java/org/jfree/chart/labels/ItemLabelPositionTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/labels/ItemLabelPositionTest, 18, 2, 9.00
./jfreechart-master/src/test/java/org/jfree/chart/labels/StandardXYZToolTipGeneratorTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/labels/StandardXYZToolTipGeneratorTest, 93, 23, 4.04
./jfreechart-master/src/test/java/org/jfree/chart/labels/StandardFlowLabelGeneratorTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/labels/StandardFlowLabelGeneratorTest, 20, 3, 6.67
./jfreechart-master/src/test/java/org/jfree/chart/labels/StandardPieSectionLabelGeneratorTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/labels/StandardPieSectionLabelGeneratorTest, 84, 19, 4.42
./jfreechart-master/src/test/java/org/jfree/chart/labels/CustomXYItemLabelGeneratorTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/labels/CustomXYItemLabelGeneratorTest, 39, 5, 7.80
